Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,Year
IR-O-U-0217,Christ University,Bengaluru,Karnataka,48.66,90,58.34,22.05,66.49,72.84,39.72,2024
IR-O-U-0446,Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,48.64,91,67.46,22.62,67.73,71.19,9.37,2024
IR-O-U-0055,National Institute of Technology Silchar,Silchar,Assam,48.55,92,50.88,43.7,69.93,56.42,5.37,2024
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,48.29,93,57.81,32.74,71.05,57.97,11.24,2024
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,48.16,94,67.97,17.53,81.99,57.0,4.09,2024
IR-O-U-0642,Shiv Nadar University,Gautam Buddha Nagar,Uttar Pradesh,48.12,95,71.43,25.51,59.74,66.79,4.09,2024
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,48.1,96,72.73,22.22,62.46,62.99,8.21,2024
IR-O-U-0003,Acharya Nagarjuna University,Guntur,Andhra Pradesh,47.73,97,64.38,17.0,82.97,65.0,2.32,2024
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,47.56,98,66.96,15.83,71.49,72.19,11.96,2024
IR-O-U-0686,All India Institute of Medical Sciences Patna,Patna,Bihar,47.55,99,69.57,20.49,60.0,66.08,19.19,2024
IR-O-U-0470,Periyar University,Salem,Tamil Nadu,47.43,100,61.51,29.46,69.58,59.86,2.32,2024
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.69,1,86.45,89.88,87.22,63.59,100.0,2023
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,83.09,2,82.43,88.45,80.57,59.23,97.94,2023
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,82.16,3,82.06,85.23,79.21,70.32,90.98,2023
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.28,4,80.71,86.14,84.26,58.76,84.98,2023
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.23,5,85.45,72.94,83.62,60.24,69.84,2023
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,72.14,6,76.47,67.75,70.46,72.72,75.23,2023
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.82,7,73.29,72.25,76.75,57.44,70.68,2023
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.66,8,77.69,68.0,83.15,62.8,50.36,2023
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,68.78,9,73.43,66.98,82.95,58.3,42.44,2023
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.44,10,73.55,46.56,94.89,73.64,50.73,2023
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.21,11,72.77,49.18,99.64,61.5,45.43,2023
IR-O-U-0108,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,65.52,12,69.38,49.83,93.85,83.41,26.4,2023
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,64.3,13,67.63,53.66,90.61,56.79,41.08,2023
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,64.24,14,74.38,55.13,73.26,59.03,48.36,2023
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.74,15,73.39,50.35,73.93,72.47,35.71,2023
IR-O-U-0234,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,62.71,16,72.87,54.02,77.97,66.1,24.39,2023
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,62.7,17,55.66,63.59,80.43,62.55,45.71,2023
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,62.36,18,56.24,64.24,74.58,50.29,62.67,2023
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,62.27,19,68.87,46.88,94.55,60.04,26.4,2023
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.49,20,70.46,44.54,83.27,66.58,26.83,2023
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.43,21,59.68,48.55,76.18,68.33,58.95,2023
IR-O-U-0120,University of Delhi,Delhi,Delhi,60.24,22,46.65,54.3,97.84,63.98,39.84,2023
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.22,23,66.11,42.3,97.37,53.01,29.33,2023
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.89,24,74.59,43.13,69.53,69.14,27.47,2023
IR-O-U-0391,Birla Institute of Technology  & Science -Pilani,Pilani,Rajasthan,58.76,25,61.65,56.26,74.65,59.16,25.3,2023
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,58.35,26,69.78,40.1,73.26,73.35,34.11,2023
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,58.14,27,69.83,52.18,71.3,67.38,5.37,2023
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,58.0,28,66.36,52.71,72.96,60.81,16.1,2023
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.52,29,69.63,38.02,78.87,80.13,14.39,2023
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,57.09,30,73.14,49.45,71.36,54.35,6.08,2023
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,57.08,31,54.83,53.2,75.62,57.38,38.07,2023
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56.44,32,61.62,47.02,74.95,64.61,23.94,2023
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,56.16,33,73.68,38.46,66.67,66.44,25.52,2023
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,56.05,34,72.45,43.72,63.27,63.57,21.81,2023
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.78,35,60.99,39.3,94.63,51.78,15.82,2023
